#Release 14.7 - par P.20160913 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Mar 22 23:53:19 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       all_phase_map.ncd
#OUTPUT FILE:      all_phase_pad.csv
#PART TYPE:        xc6slx45t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
A3,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
A4,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A5,,IOBS,IO_L8N_VREF_0,UNUSED,,0,,,,,,,,,
A6,,OPAD,MGTTXN0_101,UNUSED,,,,,,,,,,,
A7,,,MGTAVTTTX_101,,,,,,,,,,,,
A8,,OPAD,MGTTXN1_101,UNUSED,,,,,,,,,,,
A9,,,GND,,,,,,,,,,,,
A10,,IPAD,MGTREFCLK0P_101,UNUSED,,,,,,,,,,,
A11,,,GND,,,,,,,,,,,,
A12,,IPAD,MGTREFCLK0P_123,UNUSED,,,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,,OPAD,MGTTXN0_123,UNUSED,,,,,,,,,,,
A15,,,MGTAVTTTX_123,,,,,,,,,,,,
A16,,OPAD,MGTTXN1_123,UNUSED,,,,,,,,,,,
A17,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A18,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
A19,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
A20,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
A21,,,TCK,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,
AA1,diff_phase_2<11>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA2,diff_phase_2<10>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA3,diff_phase_1<15>,IOB,IO_L65N_CSO_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA4,diff_phase_1<12>,IOB,IO_L63P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA5,,,GND,,,,,,,,,,,,
AA6,rx3<14>,IOB,IO_L49P_D3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA7,,,VCCO_2,,,2,,,,,2.50,,,,
AA8,rx3<6>,IOB,IO_L45P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA9,,,GND,,,,,,,,,,,,
AA10,rx4<14>,IOB,IO_L41P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA11,,,VCCO_2,,,2,,,,,2.50,,,,
AA12,rx4<8>,IOB,IO_L31P_GCLK31_D14_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA13,,,GND,,,,,,,,,,,,
AA14,rx1<10>,IOB,IO_L6P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA15,,,VCCO_2,,,2,,,,,2.50,,,,
AA16,rx2<10>,IOB,IO_L19P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA17,,,GND,,,,,,,,,,,,
AA18,rx2<0>,IOB,IO_L14P_D11_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA19,,,VCCO_2,,,2,,,,,2.50,,,,
AA20,rx1<4>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA21,rx1<1>,IOB,IO_L1N_M0_CMPMISO_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA22,,,SUSPEND,,,,,,,,,,,,
AB1,,,GND,,,,,,,,,,,,
AB2,,,PROGRAM_B_2,,,,,,,,,,,,
AB3,,,VCCO_2,,,2,,,,,2.50,,,,
AB4,diff_phase_1<13>,IOB,IO_L63N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB5,diff_phase_1<11>,IOB,IO_L62N_D6_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB6,rx3<15>,IOB,IO_L49N_D4_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB7,rx3<11>,IOB,IO_L47N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB8,rx3<7>,IOB,IO_L45N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB9,rx3<3>,IOB,IO_L43N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB10,rx4<15>,IOB,IO_L41N_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB11,rx4<11>,IOB,IO_L32N_GCLK28_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB12,rx4<9>,IOB,IO_L31N_GCLK30_D15_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB13,rx4<7>,IOB,IO_L30N_GCLK0_USERCCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB14,rx1<11>,IOB,IO_L6N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB15,rx2<15>,IOB,IO_L21N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB16,rx2<11>,IOB,IO_L19N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB17,rx2<3>,IOB,IO_L15N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB18,rx2<1>,IOB,IO_L14N_D12_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB19,rx1<15>,IOB,IO_L13N_D10_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB20,rx1<5>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB21,,,DONE_2,,,,,,,,,,,,
AB22,,,GND,,,,,,,,,,,,
B1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
B2,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
B3,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
B4,,,VCCO_0,,,0,,,,,any******,,,,
B5,,,GND,,,,,,,,,,,,
B6,,OPAD,MGTTXP0_101,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,OPAD,MGTTXP1_101,UNUSED,,,,,,,,,,,
B9,,,MGTAVCCPLL0_101,,,,,,,,,,,,
B10,,IPAD,MGTREFCLK0N_101,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,IPAD,MGTREFCLK0N_123,UNUSED,,,,,,,,,,,
B13,,,MGTAVCCPLL0_123,,,,,,,,,,,,
B14,,OPAD,MGTTXP0_123,UNUSED,,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,OPAD,MGTTXP1_123,UNUSED,,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
B19,,,VCCO_0,,,0,,,,,any******,,,,
B20,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
B21,,IOBM,IO_L10P_1,UNUSED,,1,,,,,,,,,
B22,,IOBS,IO_L10N_1,UNUSED,,1,,,,,,,,,
C1,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
C2,,,VCCO_3,,,3,,,,,2.50,,,,
